# This file contains the Modeled Rotation Curves of de Blok, McGaugh, & Rubin (2001).
#data obtained from http://astroweb.case.edu/ssm/data/RCsmooth.0701.dat
#Name F579-V1
#R	Rkpc	Vgas	Vdisk Vbul 	V	Err
#"	kpc	km/s	km/s	km/s	km/s	km/s
1.0	0.4	-1.7	5.1	0	35.7	9.1	
3.4	1.4	-4.3	16.2	0	83.3	9.3
5.0	2.0	-3.8	21.8	0	94.2	10.4
6.6	2.7	-0.8	25.3	0	97.6	9.1	
9.0	3.7	5.9	28.3	0	101.4	9.1	
11.0	4.5	10.5	30.5	0	105.0	16.7
13.0	5.4	13.2	33.1	0	106.2	9.1	
14.6	6.0	14.9	35.2	0	107.9	11.5
17.0	7.0	18.0	37.8	0	110.4	23.0
19.0	7.8	20.8	39.1	0	112.0	19.7
21.0	8.7	23.2	39.6	0	113.2	9.1	
25.0	10.3	26.4	39.0	0	114.0	9.1	
28.0	11.6	28.3	38.6	0	114.4	9.1	
35.0	14.4	33.0	34.7	0	114.2	11.2
